name,type,gmeet_webcam_entered,gmeet_webcam_exited,gmeet_screen_entered,gmeet_screen_exited,zoom_webcam_entered,zoom_webcam_exited,zoom_screen_entered,zoom_screen_exited,siruntu_webcam_entered,siruntu_webcam_exited,siruntu_screen_entered,siruntu_screen_exited
presenter,presenter,2023-01-30 14:06:42,2023-01-30 14:32:59,2023-01-30 14:38:01,2023-01-30 15:06:53,2023-02-01 14:10:00,2023-02-01 14:37:39,2023-02-01 14:40:00,2023-02-01 15:06:51,2023-02-15 14:20:14,2023-02-15 14:48:00,2023-02-15 14:50:30,2023-02-15 15:20:15
viewer_1,viewer,2023-01-30 14:08:36,2023-01-30 14:32:59,2023-01-30 14:40:16,2023-01-30 15:06:53,2023-02-01 14:11:50,2023-02-01 14:37:39,2023-02-01 14:41:14,2023-02-01 15:06:51,2023-02-15 14:21:16,2023-02-15 14:48:00,2023-02-15 14:51:08,2023-02-15 15:20:15
viewer_2,viewer,2023-01-30 14:09:26,2023-01-30 14:32:59,2023-01-30 14:41:12,2023-01-30 15:06:53,2023-02-01 14:12:39,2023-02-01 14:37:39,2023-02-01 14:42:19,2023-02-01 15:06:51,2023-02-15 14:22:06,2023-02-15 14:48:00,2023-02-15 14:52:05,2023-02-15 15:20:15
viewer_3,viewer,2023-01-30 14:10:25,2023-01-30 14:32:59,2023-01-30 14:42:16,2023-01-30 15:06:53,2023-02-01 14:13:43,2023-02-01 14:37:39,2023-02-01 14:43:15,2023-02-01 15:06:51,2023-02-15 14:23:11,2023-02-15 14:48:00,2023-02-15 14:53:04,2023-02-15 15:20:15
viewer_4,viewer,2023-01-30 14:11:22,2023-01-30 14:32:59,2023-01-30 14:43:10,2023-01-30 15:06:53,2023-02-01 14:14:17,2023-02-01 14:37:39,2023-02-01 14:44:22,2023-02-01 15:06:51,2023-02-15 14:25:07,2023-02-15 14:48:00,2023-02-15 14:54:03,2023-02-15 15:20:15
viewer_5,viewer,2023-01-30 14:12:19,2023-01-30 14:32:59,2023-01-30 14:44:12,2023-01-30 15:06:53,2023-02-01 14:15:31,2023-02-01 14:37:39,2023-02-01 14:45:14,2023-02-01 15:06:51,2023-02-15 14:26:14,2023-02-15 14:48:00,2023-02-15 14:55:06,2023-02-15 15:20:15
viewer_6,viewer,2023-01-30 14:14:39,2023-01-30 14:32:59,2023-01-30 14:46:55,2023-01-30 15:06:53,2023-02-01 14:17:50,2023-02-01 14:37:39,2023-02-01 14:47:47,2023-02-01 15:06:51,2023-02-15 14:27:09,2023-02-15 14:48:00,2023-02-15 14:56:05,2023-02-15 15:20:15
viewer_7,viewer,2023-01-30 14:14:42,2023-01-30 14:32:59,2023-01-30 14:46:12,2023-01-30 15:06:53,2023-02-01 14:17:33,2023-02-01 14:37:39,2023-02-01 14:47:26,2023-02-01 15:06:51,2023-02-15 14:28:07,2023-02-15 14:48:00,2023-02-15 14:57:10,2023-02-15 15:20:15
viewer_8,viewer,2023-01-30 14:15:19,2023-01-30 14:32:59,2023-01-30 14:47:34,2023-01-30 15:06:53,2023-02-01 14:18:29,2023-02-01 14:37:39,2023-02-01 14:48:20,2023-02-01 15:06:51,2023-02-15 14:29:11,2023-02-15 14:48:00,2023-02-15 14:58:05,2023-02-15 15:20:15
viewer_9,viewer,2023-01-30 14:16:26,2023-01-30 14:32:59,2023-01-30 14:48:32,2023-01-30 15:06:53,2023-02-01 14:19:20,2023-02-01 14:37:39,2023-02-01 14:49:16,2023-02-01 15:06:51,2023-02-15 14:31:01,2023-02-15 14:48:00,2023-02-15 14:59:13,2023-02-15 15:20:15
viewer_10,viewer,2023-01-30 14:17:14,2023-01-30 14:32:59,2023-01-30 14:49:56,2023-01-30 15:06:53,2023-02-01 14:20:23,2023-02-01 14:37:39,2023-02-01 14:50:11,2023-02-01 15:06:51,2023-02-15 14:32:08,2023-02-15 14:48:00,2023-02-15 15:00:16,2023-02-15 15:20:15
