User,Type,Zoom Min,Meetup Min,Zoom Max,Meetup Max,Zoom Avg,Meetup Avg
presenter,upload (bytes),0.00,0.00,271902.00,272044.00,3241.68,20110.77
viewer_1,download (bytes),0.00,0.00,815183.00,546073.00,14475.58,29349.09
viewer_2,download (bytes),0.00,0.00,656315.00,170009.00,13929.71,23456.38
viewer_3,download (bytes),0.00,0.00,914116.00,180371.00,20344.43,25464.50
viewer_4,download (bytes),0.00,0.00,3096569.00,232776.00,21713.69,24777.74
viewer_5,download (bytes),0.00,0.00,1950989.00,144146.00,18182.74,16484.00
viewer_6,download (bytes),0.00,0.00,601457.00,198459.00,11894.05,12455.37
viewer_7,download (bytes),0.00,0.00,1966821.00,169277.00,13050.34,18959.27
viewer_8,download (bytes),0.00,0.00,2579682.00,170308.00,12422.49,15963.75
viewer_9,download (bytes),0.00,0.00,3353553.00,169293.00,12984.44,9936.58
viewer_10,download (bytes),0.00,0.00,1215772.00,184397.00,17438.77,13559.61
viewer_11,download (bytes),0.00,0.00,3081402.00,134871.00,11575.80,9894.34
viewer_12,download (bytes),0.00,0.00,4410105.00,130757.00,12368.32,7826.76
viewer_13,download (bytes),0.00,0.00,4106865.00,140080.00,8742.77,14012.19
viewer_14,download (bytes),0.00,0.00,2528516.00,139996.00,9746.17,10584.63
viewer_15,download (bytes),0.00,0.00,2015771.00,160996.00,11163.91,10702.96
