User,Media Stream,Resource,Gmeet Min,Zoom Min,Meetup Min,Gmeet Max,Zoom Max,Meetup Max,Gmeet Avg,Zoom Avg,Meetup Avg
presenter,webcam,cpu (%),23.0,32.7,31.0,174.3,114.5,86.1,56.97,64.87,53.15
presenter,screen,cpu (%),0.0,16.6,0.0,97.7,88.9,109.3,19.98,33.61,62.13
presenter,webcam,memory (MB),188.39,553.45,92.37,221.26,717.37,109.5,202.02,571.50,99.35
presenter,screen,memory (MB),296.32,389.52,129.06,335.52,630.27,147.11,317.30,568.06,141.69
viewer_1,webcam,cpu (%),0.0,1.6,0.0,15.6,20.3,14.1,7.01,8.41,4.54
viewer_1,screen,cpu (%),0.0,0.0,0.0,17.2,12.5,9.4,6.74,5.45,3.76
viewer_1,webcam,memory (MB),111.63,431.1,32.23,142.33,537.51,47.97,127.44,453.37,41.28
viewer_1,screen,memory (MB),157.39,446.43,56.78,1779.73,560.58,63.37,234.37,483.63,60.31
viewer_2,webcam,cpu (%),23.4,9.4,1.6,45.3,37.4,18.8,33.35,22.44,8.11
viewer_2,screen,cpu (%),20.3,14.0,3.1,49.9,31.2,40.6,32.65,22.28,19.68
viewer_2,webcam,memory (MB),0.15,669.54,32.98,182.36,723.04,37.87,147.27,705.78,35.35
viewer_2,screen,memory (MB),150.52,679.59,45.53,181.83,706.35,60.33,167.93,693.45,57.87
viewer_3,webcam,cpu (%),7.7,9.3,0.0,48.0,35.6,20.3,16.39,17.92,7.24
viewer_3,screen,cpu (%),7.7,3.1,1.6,23.3,35.7,31.2,12.75,17.19,13.98
viewer_3,webcam,memory (MB),142.71,426.54,39.35,179.27,505.15,44.04,157.68,493.08,42.17
viewer_3,screen,memory (MB),126.31,418.38,53.43,159.97,683.33,66.14,145.92,516.91,62.27
viewer_4,webcam,cpu (%),7.8,4.7,6.2,79.6,196.6,48.4,17.17,20.73,31.22
viewer_4,screen,cpu (%),1.6,3.1,3.1,15.6,98.3,40.6,9.44,14.77,17.66
viewer_4,webcam,memory (MB),134.38,430.56,40.71,154.19,497.71,46.17,145.75,473.91,44.25
viewer_4,screen,memory (MB),150.99,412.27,49.05,175.8,701.87,62.77,164.72,466.99,59.15
viewer_5,webcam,cpu (%),9.3,9.3,3.1,49.7,35.7,10.9,26.36,21.42,7.15
viewer_5,screen,cpu (%),4.7,9.3,1.6,24.8,105.4,10.9,11.51,20.00,5.03
viewer_5,webcam,memory (MB),137.33,436.16,35.3,160.27,507.37,40.1,144.46,492.41,37.78
viewer_5,screen,memory (MB),131.26,459.53,35.82,161.04,764.71,65.23,147.00,684.98,62.26
viewer_6,webcam,cpu (%),4.6,3.1,3.1,21.7,115.4,10.9,13.46,15.60,6.74
viewer_6,screen,cpu (%),3.1,4.7,1.6,18.6,29.5,15.5,11.21,11.15,6.49
viewer_6,webcam,memory (MB),122.35,440.56,35.82,153.22,486.42,42.14,142.79,471.44,39.51
viewer_6,screen,memory (MB),136.04,382.14,42.02,165.15,479.47,60.34,149.66,425.67,52.64
viewer_7,webcam,cpu (%),4.7,0.0,1.6,23.4,25.0,12.5,10.92,7.72,6.14
viewer_7,screen,cpu (%),1.6,0.0,1.6,44.9,63.9,29.7,11.06,7.87,12.18
viewer_7,webcam,memory (MB),139.46,407.34,35.79,165.75,484.35,40.47,153.04,444.20,38.70
viewer_7,screen,memory (MB),140.55,291.23,54.35,186.15,524.37,67.38,157.92,436.98,59.07
viewer_8,webcam,cpu (%),4.7,6.2,1.6,81.1,26.6,14.0,17.78,15.53,6.13
viewer_8,screen,cpu (%),7.8,6.2,1.6,25.0,25.0,12.5,12.58,14.84,5.52
viewer_8,webcam,memory (MB),134.86,407.79,33.54,169.58,501.83,38.84,149.67,488.82,36.00
viewer_8,screen,memory (MB),129.7,484.98,31.02,152.27,555.05,61.81,141.30,543.52,54.38
viewer_9,webcam,cpu (%),4.7,4.7,1.6,118.6,15.6,17.2,19.29,8.54,6.60
viewer_9,screen,cpu (%),3.1,1.6,1.6,15.6,23.4,46.9,8.36,9.09,19.30
viewer_9,webcam,memory (MB),122.12,416.53,34.72,160.01,527.82,39.24,146.73,465.65,37.48
viewer_9,screen,memory (MB),139.57,416.2,51.02,164.95,524.48,63.3,147.40,459.76,58.22
viewer_10,webcam,cpu (%),7.8,6.2,1.6,20.3,35.8,14.0,13.07,16.58,7.92
viewer_10,screen,cpu (%),4.7,9.4,1.6,14.0,90.6,37.5,8.09,21.87,21.74
viewer_10,webcam,memory (MB),148.25,411.15,35.27,179.15,482.03,40.05,161.79,457.68,38.42
viewer_10,screen,memory (MB),139.22,419.32,47.93,164.77,545.69,60.86,153.91,486.60,54.46
